number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_max_leaves,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
49,0.6079989213132996,2026-04-14 14:06:25.712284,2026-04-14 14:06:25.784592,0 days 00:00:00.072308,0.5740646189678442,0.5685821018375357,0.8942979722742102,6.428694474075599,0.0394898398734517,275,3,153,14.238341841399684,415,0.0015264636666052949,0.00026787403167877313,2.162251588286209,0.6024356600721356,PRUNED
50,0.6224512664163028,2026-04-14 14:06:25.784917,2026-04-14 14:06:25.862859,0 days 00:00:00.077942,0.3333735983589143,0.5880932877283073,0.9989620112208253,7.742784734165189,0.014487447465581577,289,5,208,5.496816483077222,1645,0.002923854390813513,2.1126847379635827e-06,3.3223970730454044,0.7391321492642214,PRUNED
51,0.6231945018404605,2026-04-14 14:06:25.863220,2026-04-14 14:06:25.972426,0 days 00:00:00.109206,0.7456873715483511,0.6974934043279581,0.787508606102143,6.0333506076256125,0.07490078249485252,181,6,245,19.48411263638345,1978,0.2057291498433475,3.706802053072805e-05,2.7767229860290765,0.575979950361513,PRUNED
52,0.623859370839228,2026-04-14 14:06:25.972776,2026-04-14 14:06:26.050871,0 days 00:00:00.078095,0.6715907390350578,0.8281069556266115,0.7614223132416174,4.802771605511454,0.06320807610040532,145,5,219,21.384077761254105,882,0.024809970564054873,1.1433630518633063e-05,2.984297754624351,0.6334420934382294,PRUNED
53,0.6332997544954813,2026-04-14 14:06:26.051229,2026-04-14 14:06:26.494616,0 days 00:00:00.443387,0.7601047020096474,0.5298055097707884,0.8703431041907734,5.86179253514094,0.07861566041248058,246,6,187,17.854194793822717,656,0.8704051350689069,0.00010167775434174769,2.455685743712695,0.5301054934655379,PRUNED
54,0.629392212329193,2026-04-14 14:06:26.494965,2026-04-14 14:06:26.646099,0 days 00:00:00.151134,0.7929090322237448,0.7833042138319998,0.8150567303962986,8.549371902123823,0.051027976419621444,323,7,256,23.205210413480025,1587,2.503124209728137,0.0006061433924663207,3.1323056919141283,0.6177499556428651,PRUNED
55,0.6295122755268366,2026-04-14 14:06:26.646462,2026-04-14 14:06:26.766933,0 days 00:00:00.120471,0.7183638828142331,0.8135277371701203,0.7211882287257728,9.435245142669022,0.06393072014773757,218,6,206,15.568108538703315,1784,0.09230562312612897,4.404758526863709e-06,2.693835915361392,0.6730891002538675,PRUNED
56,0.6211488543493351,2026-04-14 14:06:26.767283,2026-04-14 14:06:26.875027,0 days 00:00:00.107744,0.8397040531797203,0.9738398498129446,0.9661067857574671,7.065642026473614,0.046366250637293334,343,5,235,13.372572898377731,811,3.357046835136542e-08,2.8988698609930482e-05,2.5384114070576773,0.5516497033647401,PRUNED
57,0.6292186903545045,2026-04-14 14:06:26.875376,2026-04-14 14:06:26.993568,0 days 00:00:00.118192,0.6760841339451975,0.6325726899956438,0.6659237509284179,6.373088297004529,0.03407008120053218,128,6,223,26.976067517479628,951,0.005880389141470217,0.0018024856078385663,1.4150634890051224,0.7102404860724276,PRUNED
58,0.6234872633267633,2026-04-14 14:06:26.993926,2026-04-14 14:06:27.070037,0 days 00:00:00.076111,0.6342730542539802,0.8908632695705344,0.9120813309220982,1.4674318932373343,0.058052637382853635,237,5,130,29.58228795013194,1170,0.4692811700666574,0.006442879135238789,2.308263200293464,0.5017314546528127,PRUNED
59,0.613389785494268,2026-04-14 14:06:27.070419,2026-04-14 14:06:27.147451,0 days 00:00:00.077032,0.8695488827141115,0.7107302723492187,0.5310646258916536,7.65463607731248,0.03968383829844983,150,4,160,24.904372362774687,1012,18.893184285812083,0.00039076747334644286,1.7532377411512443,0.6580928315814649,PRUNED
60,0.621671734375204,2026-04-14 14:06:27.147799,2026-04-14 14:06:27.237092,0 days 00:00:00.089293,0.4729003265206711,0.9308814515816306,0.6096659141452327,3.9022015619415895,0.021071087859370757,505,7,195,9.260580943216763,1092,0.12017036511242227,0.00012474267088734273,3.4710595867985616,0.5954222567942324,PRUNED
61,0.32536576832180386,2026-04-14 14:06:27.237423,2026-04-14 14:06:29.851047,0 days 00:00:02.613624,0.7483604013529958,0.9923361860902581,0.6891012253009158,5.176617698041966,0.07881484846500734,137,6,247,22.705607036794603,942,0.011009763252671131,2.2579707376240166e-05,2.868856129652945,0.6440176552318448,COMPLETE
62,0.6195085090572372,2026-04-14 14:06:29.851445,2026-04-14 14:06:29.943733,0 days 00:00:00.092288,0.815675240379478,0.9855783899578833,0.31123262616006014,5.221353126505052,0.06861103705488594,174,6,248,22.70917200544416,899,0.011391176865630098,3.320784068119739e-05,2.870523286840051,0.6403044919175926,PRUNED
63,0.6307456987225274,2026-04-14 14:06:29.944093,2026-04-14 14:06:30.079726,0 days 00:00:00.135633,0.7610554866817607,0.9613005674007828,0.684188197584985,3.281446076723558,0.07949877570430243,142,6,238,21.053016935167445,846,0.04012445518347772,2.053609948641691e-06,2.9047344169241485,0.5715057423640396,PRUNED
64,0.6251409242907939,2026-04-14 14:06:30.080094,2026-04-14 14:06:30.164400,0 days 00:00:00.084306,0.7019458904557656,0.7592837672591293,0.7993632384726663,4.8005599441488895,0.054354272721927395,201,5,230,11.727503332699131,1271,0.0008164876163582848,5.665513523381521e-06,2.6707085486008832,0.6767504668567984,PRUNED
65,0.6226319526234255,2026-04-14 14:06:30.164732,2026-04-14 14:06:30.250223,0 days 00:00:00.085491,0.7338652191673164,0.6771120035021141,0.7715731218927505,5.576314572263579,0.04738927709267076,364,7,249,18.92282388219786,746,0.33537349028157526,1.984660819062382e-05,3.224642718775408,0.6101805830057382,PRUNED
66,0.6239599139401937,2026-04-14 14:06:30.250592,2026-04-14 14:06:30.332355,0 days 00:00:00.081763,0.783591042461421,0.8571998719730337,0.730452451016784,8.874929823669502,0.06796757883920142,469,6,177,15.026242407878508,584,0.0047763382972775105,4.572719450446576e-05,2.0046186769169942,0.7576106338031493,PRUNED
67,0.6172188702960761,2026-04-14 14:06:30.332688,2026-04-14 14:06:30.408372,0 days 00:00:00.075684,0.6439715303803317,0.9312272668241312,0.6332587430909674,6.60599919350281,0.030216694278538944,188,5,202,23.87385304682027,972,0.02250246978948146,4.630527541029526e-07,3.022681248280365,0.6983128492125718,PRUNED
68,0.6201699855217894,2026-04-14 14:06:30.408716,2026-04-14 14:06:30.489599,0 days 00:00:00.080883,0.3961315223789124,0.8028148335838061,0.848142568153841,9.655250814774066,0.05705243290310938,290,6,220,13.11467308270878,675,0.00016396936321704664,0.0009823157763380309,2.214071290594663,0.7241019783299945,PRUNED
69,0.6213378963182812,2026-04-14 14:06:30.489961,2026-04-14 14:06:30.593065,0 days 00:00:00.103104,0.76082017503192,0.9484531090823756,0.594344969519951,4.529330900080901,0.041730635729102246,154,6,215,15.991792048709447,1404,4.526420469078096,0.004002704626423282,2.554202755597392,0.6322370177550941,PRUNED
70,0.6277058265187817,2026-04-14 14:06:30.593416,2026-04-14 14:06:30.702533,0 days 00:00:00.109117,0.8018765476093328,0.7230218743606357,0.6994355022806203,7.030789555378879,0.007657716766351639,306,7,237,27.72128348867282,1075,1.064794256569431,0.0161614577259531,3.631625856280535,0.5863704943030438,PRUNED
71,0.6241217142171019,2026-04-14 14:06:30.702859,2026-04-14 14:06:30.786086,0 days 00:00:00.083227,0.7390546738649074,0.997913825575797,0.7443256872174687,6.187983866923995,0.07164715638167242,136,5,250,24.886037403677978,946,0.07102254571884188,9.502930387187014e-06,2.7658091489461993,0.6242313293342805,PRUNED
72,0.6248174325769441,2026-04-14 14:06:30.786477,2026-04-14 14:06:30.876117,0 days 00:00:00.089640,0.824060135774313,0.9639258168831041,0.8164716186076081,5.87177720712071,0.060946052177942564,164,6,106,22.18276796780756,817,0.1474763715840848,0.00018024126603540297,3.1047425721912036,0.6660615877678657,PRUNED
73,0.6234733116642935,2026-04-14 14:06:30.876454,2026-04-14 14:06:30.959707,0 days 00:00:00.083253,0.6869539828255673,0.9847192564062968,0.7659301687948621,8.24373070472911,0.07839752189395827,173,6,247,19.44622764078262,1540,0.013830295172262919,6.562420426683554e-05,1.6540344891783898,0.603643467941269,PRUNED
74,0.6099394312304477,2026-04-14 14:06:30.960064,2026-04-14 14:06:31.033890,0 days 00:00:00.073826,0.7081778491910218,0.8454616614732113,0.6802012114408448,5.345222688824106,0.045920481696298615,137,5,229,17.80836783415412,1028,1.6592533776650396,36.267240610361,2.394345373218528,0.6465079000677371,PRUNED
75,0.6273661218832186,2026-04-14 14:06:31.034204,2026-04-14 14:06:31.135068,0 days 00:00:00.100864,0.6585417345837468,0.8903327626714508,0.8334990457939635,5.607472199088603,0.005449765914370107,130,9,32,22.239099958438505,738,0.033797014805092125,1.8274120345261122e-05,2.8912661958205264,0.5430670824826341,PRUNED
76,0.625527739593448,2026-04-14 14:06:31.135424,2026-04-14 14:06:31.234146,0 days 00:00:00.098722,0.8517414941598022,0.9176780983529813,0.6595322696496675,7.3298813575717725,0.053117242627826536,267,7,256,26.002347409147372,935,0.46469205425328064,0.0003987904283369525,3.402155450494807,0.688432414914049,PRUNED
77,0.6203730967291375,2026-04-14 14:06:31.234528,2026-04-14 14:06:31.319821,0 days 00:00:00.085293,0.6025522029903676,0.9868828314672566,0.5568474196100355,6.694584377036179,0.06722088179637373,150,6,241,20.62133713631508,466,0.002974181841902493,1.5083017489024376e-06,3.2434632359277487,0.792863568314997,PRUNED
78,0.6192504504974324,2026-04-14 14:06:31.320170,2026-04-14 14:06:31.417950,0 days 00:00:00.097780,0.7741760212983263,0.766289512370225,0.7861831733943107,5.0965987036668725,0.03805179792782173,378,5,189,10.050433334978907,1171,0.007939431938380424,2.991010043954466e-06,1.8668236502737188,0.5640857913923577,PRUNED
79,0.6200629249947514,2026-04-14 14:06:31.418328,2026-04-14 14:06:31.494090,0 days 00:00:00.075762,0.886631184874042,0.9567679193934607,0.7507235822790069,6.162985128979039,0.0019072522314623787,398,4,225,16.57969353113461,1134,0.0011291688348675087,7.78188964856714e-06,2.1142229177334073,0.5834279884616057,PRUNED
80,0.6221768166758722,2026-04-14 14:06:31.494437,2026-04-14 14:06:31.579998,0 days 00:00:00.085561,0.9225714280427044,0.9990790294666395,0.7149938902353135,4.739800588225024,0.05871651409936233,354,6,235,22.802767879254553,1334,0.1724712378503394,0.000141232190776094,2.556890206612164,0.6547844524738929,PRUNED
81,0.6293423486411698,2026-04-14 14:06:31.580317,2026-04-14 14:06:31.702368,0 days 00:00:00.122051,0.7299410912897739,0.9726445637661976,0.7834160653762948,5.750289698405117,0.06908676293120021,257,6,252,24.35521339304703,881,0.08610551115814333,2.167153826728363e-05,3.1022519802764803,0.6295902077637475,PRUNED
82,0.6281077642080944,2026-04-14 14:06:31.702723,2026-04-14 14:06:31.818278,0 days 00:00:00.115555,0.7555291165924863,0.9391205685539845,0.8647957078332761,6.39310775206569,0.04960592299302415,159,6,244,19.88283977740748,996,0.04352420664774559,5.9957630855458234e-05,2.742097062045187,0.6181045459185879,PRUNED
83,0.6309106782561033,2026-04-14 14:06:31.818653,2026-04-14 14:06:31.948459,0 days 00:00:00.129806,0.7162069482585421,0.9700427049878607,0.9347878077661624,4.167263316229794,0.07875906277834434,141,6,242,21.597686797044606,932,0.28304796742719535,3.7918037556519346e-06,2.90917552495967,0.9056343353980862,PRUNED
84,0.6232752639807987,2026-04-14 14:06:31.948814,2026-04-14 14:06:32.026807,0 days 00:00:00.077993,0.783882060306313,0.7904859788734997,0.8031040733659045,8.05043002503061,0.06277158648247864,129,5,169,11.7178724271863,796,0.6806254246753943,0.00032096807931593217,2.617341086529047,0.6414590400385851,PRUNED
85,0.6229106581633642,2026-04-14 14:06:32.027130,2026-04-14 14:06:32.115358,0 days 00:00:00.088228,0.6813106130745111,0.9883550148959694,0.8911659604901666,6.153330313917417,0.06957727833997995,317,7,212,23.93558915411329,845,0.01929104143542286,0.0021290986730116727,3.013567520067278,0.5984986676039811,PRUNED
86,0.6199360003683508,2026-04-14 14:06:32.115731,2026-04-14 14:06:32.214657,0 days 00:00:00.098926,0.7997434516315963,0.7389772613667557,0.6299860000671909,6.874019878799153,0.030789380972436487,184,5,181,25.598794905315817,1045,0.051488765479716175,3.0408866318258494e-05,2.277622575106343,0.8305228085164942,PRUNED
87,0.6235164238411093,2026-04-14 14:06:32.214982,2026-04-14 14:06:32.300737,0 days 00:00:00.085755,0.8279948138588348,0.9211658702583456,0.6899739217431412,7.657190012084983,0.052270784701235536,297,6,88,13.785387320470504,609,2.7033019231103187e-05,1.2839126211029841e-05,2.473558306652379,0.685108329158244,PRUNED
88,0.6327945422294594,2026-04-14 14:06:32.301181,2026-04-14 14:06:32.524016,0 days 00:00:00.222835,0.5564607957970111,0.9451679599022353,0.7345080819002603,7.265666887261146,0.042203182199888306,176,6,251,20.981895140392854,704,0.1193710181761132,0.0012573760949491294,1.9673079047173125,0.6633423605086191,PRUNED
89,0.6196679854469501,2026-04-14 14:06:32.524409,2026-04-14 14:06:32.597308,0 days 00:00:00.072899,0.7478906083882255,0.6570682435340621,0.8374687241242441,8.449288101988301,0.061025265579635224,203,4,256,18.50312817875657,985,0.008257600612902993,0.0005447607941402627,2.8325829414291923,0.5184061870498851,PRUNED
90,0.6231380872437001,2026-04-14 14:06:32.597660,2026-04-14 14:06:32.682696,0 days 00:00:00.085036,0.6979741841723487,0.9014488509851415,0.8238233772783852,9.048533863471903,0.07116771479492041,278,5,231,22.852697705827808,1100,0.1978699918826204,9.185452164598124e-05,3.090170107052728,0.6376967801286263,PRUNED
91,0.6179227199192581,2026-04-14 14:06:32.683057,2026-04-14 14:06:32.780968,0 days 00:00:00.097911,0.8620145864234426,0.9557271912077588,0.7530009336473303,1.958627776214048,0.045083741438384825,440,8,150,5.7957521221315735,1809,1.8168815450964063e-06,1.1420507486392098e-08,1.6267008860033672,0.8768648302304731,PRUNED
92,0.6214109507659288,2026-04-14 14:06:32.781313,2026-04-14 14:06:32.872804,0 days 00:00:00.091491,0.7708333509880504,0.8657130725526416,0.7079024963396705,6.601668517472707,0.05679334793251506,420,6,205,5.493860667952553,1852,1.9325275550125452e-06,1.5823952327944653e-07,1.8160629716870016,0.6127710043119132,PRUNED
93,0.6179818386554219,2026-04-14 14:06:32.873137,2026-04-14 14:06:32.975360,0 days 00:00:00.102223,0.7210898129988388,0.9790522870803616,0.6756671340020742,0.43904637202114927,0.03640185484739681,484,9,161,7.184128810954716,1893,4.822320166192242e-05,0.0002178402829181627,2.1306840480717737,0.7127479800329082,PRUNED
94,0.6183264352071777,2026-04-14 14:06:32.975729,2026-04-14 14:06:33.088258,0 days 00:00:00.112529,0.8923355578214082,0.9634326379578854,0.7787815347163872,5.321535668577129,0.02553953052007318,147,8,172,1.775346543204206,1991,2.3823840482460982e-07,4.92661998872072e-07,1.1225302711219078,0.9514199091405223,PRUNED
95,0.6348155339661835,2026-04-14 14:06:33.088615,2026-04-14 14:06:33.584090,0 days 00:00:00.495475,0.7939136495336876,0.6278776442019527,0.7614829682503289,5.68405450628149,0.051163232783463505,335,7,182,14.545448285463088,911,0.38292368699431373,4.734715049468466e-05,2.7202747539707013,0.7381973468656222,PRUNED
96,0.6227501233374225,2026-04-14 14:06:33.584468,2026-04-14 14:06:33.667115,0 days 00:00:00.082647,0.839946780541234,0.8271038429987672,0.978529923258632,4.939058195769622,0.011699420127799488,233,6,195,28.880625836982386,1753,8.636732007128821e-06,0.004025126530422435,1.4464579904673465,0.5625359084963886,PRUNED
97,0.623454822322464,2026-04-14 14:06:33.667434,2026-04-14 14:06:33.750784,0 days 00:00:00.083350,0.3138506145538601,0.6859974850765519,0.8039310864128536,3.029748255026341,0.07968188645045647,220,6,132,26.875513241271925,1915,0.066581280013474,2.1150518225386753e-08,2.388601985640983,0.9575742542936657,PRUNED
98,0.6359543316733899,2026-04-14 14:06:33.751133,2026-04-14 14:06:34.218562,0 days 00:00:00.467429,0.7420633633342281,0.9992930221078435,0.7193030225765895,4.534152634104822,0.0647119520737366,479,5,142,17.582280249266418,1224,0.027510764974981415,5.443424384217011e-08,2.9466828879307045,0.674390355342365,PRUNED
99,0.6196424557949207,2026-04-14 14:06:34.218929,2026-04-14 14:06:34.303984,0 days 00:00:00.085055,0.8178885372013961,0.5354106764940144,0.658084543807457,6.08398485738466,0.0713273815110314,168,7,246,22.132745590401093,858,5.038108321065896e-06,1.101011046169763e-06,0.4341804309310111,0.5796075289002589,PRUNED
100,0.6083703095201789,2026-04-14 14:06:34.304343,2026-04-14 14:06:34.383401,0 days 00:00:00.079058,0.3653726891134083,0.7771426796692431,0.604272409549529,8.668315505495451,0.055968097463265455,136,5,234,24.569199813396953,1715,1.798599803997071,5.677461715818453,3.1814762003127983,0.542110250062564,PRUNED
101,0.600764676378222,2026-04-14 14:06:34.383748,2026-04-14 14:06:34.460971,0 days 00:00:00.077223,0.4665132745865646,0.6456879255428635,0.7293620162203887,2.4595239439291543,0.004458748468345035,327,3,67,9.063967524042392,565,0.0027424880042912526,0.12179608908508363,2.6281340902253865,0.7711719023917678,PRUNED
102,0.6095886732242036,2026-04-14 14:06:34.461294,2026-04-14 14:06:34.539955,0 days 00:00:00.078661,0.6716363005840857,0.5909910813868644,0.48763698701584735,2.1774397796326923,0.00349174534558911,458,4,43,8.360186382858899,791,0.00038924735447613313,0.030746947434012205,2.23608516904656,0.8834871022411023,PRUNED
